Понедельник;Вторник;Среда;Четверг;Пятница;Суббота
Геометрия;Геометрия;Английский язык;Алгебра;Геометрия
Информакика;Физика;Физика;Геометрия;Информакика
Алгебра;Физика;Геометрия;Информакика;Алгебра
